,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,cluster,cluster_predicted,dbscan_cluster
18197,Si,Si,No,No,Si,Si,0,2,4
18198,No,Si,No,No,Si,Si,0,1,13
18199,Si,Si,No,No,No,Si,1,2,0
18200,No,Si,No,No,Si,Si,0,1,13
18201,Si,Si,No,No,No,Si,1,2,0
18202,No,Si,No,No,No,Si,1,1,1
18203,Si,Si,No,No,No,Si,1,2,0
18204,No,Si,Si,No,Si,Si,0,1,30
18205,No,Si,No,No,No,Si,1,1,1
18206,Si,Si,No,No,No,Si,1,2,0
18207,No,Si,No,No,No,Si,1,1,1
18208,Si,Si,No,No,Si,Si,0,2,4
18209,Si,Si,No,No,No,Si,1,2,0
18210,Si,Si,No,No,No,Si,1,2,0
18211,No,Si,No,No,No,Si,1,1,1
18212,No,Si,No,No,No,Si,1,1,1
18213,Si,Si,No,No,No,Si,1,2,0
18214,Si,Si,Si,No,No,Si,1,2,12
18215,Si,Si,No,No,No,Si,1,2,0
18216,Si,Si,Si,No,No,Si,1,2,12
18217,Si,Si,No,No,No,Si,1,2,0
18218,Si,Si,No,No,No,Si,1,2,0
18219,Si,Si,No,Si,No,Si,2,0,2
18220,No,Si,No,Si,No,Si,2,1,9
18221,Si,Si,No,Si,No,Si,2,0,2
18222,Si,Si,No,No,No,Si,1,2,0
18223,No,Si,No,No,No,Si,1,1,1
18224,Si,Si,No,No,No,Si,1,2,0
18225,Si,Si,No,No,No,Si,1,2,0
18226,Si,Si,No,No,No,Si,1,2,0
18227,Si,Si,Si,No,No,Si,1,2,12
18228,Si,Si,No,Si,No,Si,2,0,2
18229,Si,Si,No,Si,No,Si,2,0,2
18230,Si,Si,Si,No,No,Si,1,2,12
18231,No,Si,No,Si,Si,Si,0,1,3
18232,No,Si,No,Si,No,Si,2,1,9
18233,Si,Si,No,No,No,Si,1,2,0
18234,Si,Si,No,No,No,Si,1,2,0
18235,Si,Si,No,No,No,Si,1,2,0
18236,No,Si,No,No,No,Si,1,1,1
18237,No,Si,No,No,No,Si,1,1,1
18238,Si,Si,No,Si,No,Si,2,0,2
18239,No,Si,No,No,No,Si,1,1,1
18240,Si,Si,No,No,No,Si,1,2,0
18241,Si,Si,Si,Si,No,Si,2,0,20
18242,Si,Si,No,No,No,Si,1,2,0
18243,Si,Si,No,Si,No,Si,2,0,2
18244,Si,Si,No,No,No,Si,1,2,0
18245,No,Si,No,No,No,Si,1,1,1
18246,Si,Si,No,Si,No,Si,2,0,2
18247,Si,Si,No,No,No,Si,1,2,0
18248,No,Si,No,No,No,Si,1,1,1
18249,Si,Si,No,Si,No,Si,2,0,2
18250,Si,Si,No,Si,No,Si,2,0,2
18251,Si,Si,No,No,No,Si,1,2,0
18252,Si,No,Si,Si,No,Si,2,0,57
18253,Si,Si,No,Si,Si,Si,0,0,5
18254,No,Si,No,Si,Si,Si,0,1,3
18255,Si,Si,No,No,No,Si,1,2,0
18256,Si,Si,No,No,No,Si,1,2,0
18257,Si,Si,No,No,Si,Si,0,2,4
18258,No,Si,No,Si,No,Si,2,1,9
18259,Si,Si,Si,Si,Si,Si,0,0,7
18260,Si,Si,No,No,Si,Si,0,2,4
18261,Si,Si,No,Si,No,No,2,0,43
18262,Si,Si,Si,No,Si,Si,0,2,15
18263,No,Si,No,Si,Si,Si,0,1,3
18264,Si,Si,Si,Si,No,Si,2,0,20
18265,No,Si,No,No,No,No,1,1,17
18266,Si,Si,Si,Si,Si,Si,0,0,7
18267,No,Si,No,Si,Si,Si,0,1,3
18268,No,Si,No,Si,Si,Si,0,1,3
18269,No,Si,No,Si,Si,Si,0,1,3
18270,Si,Si,No,Si,Si,Si,0,0,5
18271,No,Si,No,Si,Si,Si,0,1,3
18272,No,Si,No,No,No,Si,1,1,1
18273,Si,Si,No,Si,Si,No,0,0,35
18274,Si,Si,No,No,Si,Si,0,2,4
18275,Si,Si,No,No,Si,Si,0,2,4
18276,Si,Si,No,No,Si,Si,0,2,4
18277,No,Si,No,No,Si,Si,0,1,13
18278,Si,Si,No,No,Si,Si,0,2,4
18279,Si,Si,No,No,Si,Si,0,2,4
18280,No,Si,No,Si,Si,Si,0,1,3
18281,No,Si,No,No,Si,Si,0,1,13
18282,Si,Si,No,Si,Si,Si,0,0,5
18283,Si,Si,No,No,No,Si,1,2,0
18284,Si,Si,No,No,No,Si,1,2,0
18285,Si,Si,No,No,No,Si,1,2,0
18286,No,Si,No,No,No,Si,1,1,1
18287,Si,Si,No,Si,Si,Si,0,0,5
18288,Si,Si,No,No,No,Si,1,2,0
18289,No,No,Si,No,No,Si,1,1,40
18290,Si,Si,No,Si,No,Si,2,0,2
18291,Si,Si,No,Si,Si,Si,0,0,5
18292,Si,Si,No,No,No,Si,1,2,0
18293,No,Si,Si,No,No,Si,1,1,11
18294,Si,Si,No,No,Si,Si,0,2,4
18295,No,Si,No,No,No,Si,1,1,1
18296,Si,Si,No,Si,Si,Si,0,0,5
18297,Si,Si,No,Si,Si,Si,0,0,5
18298,No,Si,No,No,Si,Si,0,1,13
18299,Si,Si,No,No,Si,Si,0,2,4
18300,No,Si,No,No,Si,Si,0,1,13
18301,No,Si,No,Si,No,Si,2,1,9
18302,Si,Si,No,No,Si,Si,0,2,4
18303,No,Si,No,No,Si,Si,0,1,13
18304,Si,Si,No,No,Si,Si,0,2,4
18305,No,Si,No,No,No,Si,1,1,1
18306,Si,Si,No,Si,No,Si,2,0,2
18307,Si,Si,No,No,No,Si,1,2,0
18308,No,No,No,Si,No,Si,2,1,49
18309,Si,Si,No,No,Si,Si,0,2,4
18310,Si,Si,No,Si,No,Si,2,0,2
18311,No,Si,No,No,No,Si,1,1,1
18312,Si,Si,No,No,Si,Si,0,2,4
18313,No,Si,No,No,No,Si,1,1,1
18314,Si,Si,No,No,No,Si,1,2,0
18315,Si,Si,No,No,No,Si,1,2,0
18316,Si,Si,No,No,No,Si,1,2,0
18317,No,No,Si,No,No,Si,1,1,40
18318,No,Si,No,No,No,Si,1,1,1
18319,Si,Si,No,No,No,Si,1,2,0
18320,No,Si,No,No,No,Si,1,1,1
18321,Si,Si,No,Si,No,Si,2,0,2
18322,No,Si,Si,No,No,No,1,1,10
18323,Si,Si,No,No,No,Si,1,2,0
18324,Si,Si,No,No,No,Si,1,2,0
18325,No,Si,No,No,Si,Si,0,1,13
18326,Si,Si,No,No,No,Si,1,2,0
18327,No,Si,No,No,No,Si,1,1,1
18328,Si,Si,No,Si,Si,Si,0,0,5
18329,No,Si,No,Si,No,Si,2,1,9
18330,No,Si,No,No,Si,Si,0,1,13
18331,No,Si,No,No,Si,No,0,1,24
18332,Si,No,No,No,No,Si,1,2,6
18333,No,No,No,Si,No,Si,2,1,49
18334,Si,Si,Si,Si,No,Si,2,0,20
18335,No,Si,No,No,No,Si,1,1,1
18336,No,Si,No,Si,No,Si,2,1,9
18337,Si,Si,No,No,No,Si,1,2,0
18338,No,Si,No,No,No,Si,1,1,1
18339,Si,Si,No,No,No,Si,1,2,0
18340,No,Si,No,Si,No,Si,2,1,9
18341,Si,Si,No,Si,Si,No,0,0,35
18342,Si,Si,Si,Si,No,Si,2,0,20
18343,Si,Si,No,Si,No,Si,2,0,2
18344,Si,Si,No,Si,No,Si,2,0,2
18345,Si,Si,No,Si,No,Si,2,0,2
18346,Si,Si,No,Si,No,Si,2,0,2
18347,Si,Si,No,No,No,Si,1,2,0
18348,Si,Si,No,No,No,Si,1,2,0
18349,No,Si,No,No,No,Si,1,1,1
18350,Si,Si,No,No,No,Si,1,2,0
18351,Si,Si,No,Si,No,Si,2,0,2
18352,Si,Si,No,Si,Si,Si,0,0,5
18353,Si,Si,No,Si,Si,Si,0,0,5
18354,Si,Si,No,No,Si,Si,0,2,4
18355,Si,Si,No,No,Si,Si,0,2,4
18356,No,Si,No,Si,Si,Si,0,1,3
18357,No,Si,No,No,Si,Si,0,1,13
18358,Si,Si,No,No,Si,Si,0,2,4
18359,Si,Si,No,No,No,No,1,2,23
18360,Si,Si,No,No,No,No,1,2,23
18361,Si,Si,No,No,No,Si,1,2,0
18362,No,Si,No,No,No,Si,1,1,1
18363,No,Si,No,No,Si,Si,0,1,13
18364,Si,Si,No,Si,Si,Si,0,0,5
18365,Si,Si,No,No,No,Si,1,2,0
18366,No,Si,No,Si,Si,Si,0,1,3
18367,Si,Si,No,No,Si,Si,0,2,4
18368,No,Si,No,Si,No,Si,2,1,9
18369,Si,Si,No,No,Si,Si,0,2,4
18370,Si,Si,No,Si,Si,Si,0,0,5
18371,Si,Si,No,No,Si,Si,0,2,4
18372,No,No,Si,No,No,Si,1,1,40
18373,Si,Si,No,Si,No,Si,2,0,2
18374,No,Si,Si,No,No,Si,1,1,11
18375,Si,Si,No,No,No,Si,1,2,0
18376,Si,Si,No,No,No,Si,1,2,0
18377,Si,Si,Si,No,No,Si,1,2,12
18378,Si,No,No,No,No,Si,1,2,6
18379,No,Si,Si,No,No,Si,1,1,11
18380,No,Si,Si,No,No,Si,1,1,11
18381,Si,Si,Si,Si,Si,Si,0,0,7
18382,Si,Si,No,No,No,Si,1,2,0
18383,No,No,No,No,Si,Si,0,1,39
18384,Si,Si,No,No,No,Si,1,2,0
18385,Si,Si,No,No,Si,Si,0,2,4
18386,No,Si,No,No,No,Si,1,1,1
18387,Si,Si,No,No,No,Si,1,2,0
18388,No,Si,No,Si,No,Si,2,1,9
18389,Si,Si,No,No,Si,Si,0,2,4
18390,Si,Si,No,No,No,Si,1,2,0
18391,No,Si,No,Si,Si,Si,0,1,3
18392,Si,No,No,No,Si,Si,0,2,26
18393,Si,Si,No,No,Si,Si,0,2,4
18394,No,Si,No,No,Si,Si,0,1,13
18395,No,Si,No,No,Si,Si,0,1,13
18396,No,Si,No,Si,Si,Si,0,1,3
18397,No,Si,No,No,No,Si,1,1,1
18398,Si,Si,No,No,Si,Si,0,2,4
18399,Si,Si,No,No,Si,Si,0,2,4
18400,Si,Si,No,No,No,Si,1,2,0
18401,No,Si,No,No,No,Si,1,1,1
18402,Si,Si,No,No,No,Si,1,2,0
18403,No,Si,No,No,Si,Si,0,1,13
18404,No,Si,No,No,No,Si,1,1,1
18405,Si,Si,No,Si,No,Si,2,0,2
18406,Si,Si,No,No,Si,Si,0,2,4
18407,No,Si,No,Si,No,Si,2,1,9
18408,No,Si,No,No,No,Si,1,1,1
18409,Si,Si,No,No,Si,Si,0,2,4
18410,Si,Si,No,No,Si,Si,0,2,4
18411,Si,Si,No,No,No,Si,1,2,0
18412,No,Si,No,No,No,Si,1,1,1
18413,Si,Si,No,No,No,Si,1,2,0
18414,Si,Si,No,No,No,Si,1,2,0
18415,Si,Si,No,No,No,Si,1,2,0
18416,Si,Si,No,Si,No,Si,2,0,2
18417,Si,Si,No,Si,No,Si,2,0,2
18418,Si,Si,No,Si,No,Si,2,0,2
18419,No,Si,No,No,No,Si,1,1,1
18420,No,No,No,Si,No,Si,2,1,49
18421,No,Si,No,Si,Si,Si,0,1,3
18422,No,Si,No,No,No,Si,1,1,1
18423,No,Si,No,No,No,Si,1,1,1
18424,Si,Si,No,No,Si,Si,0,2,4
18425,Si,Si,No,Si,No,Si,2,0,2
18426,Si,Si,No,Si,Si,Si,0,0,5
18427,Si,Si,No,Si,No,Si,2,0,2
18428,No,Si,No,No,No,Si,1,1,1
18429,Si,Si,No,Si,Si,Si,0,0,5
18430,Si,Si,No,No,Si,Si,0,2,4
18431,Si,Si,No,Si,No,Si,2,0,2
18432,No,Si,No,Si,No,Si,2,1,9
18433,Si,Si,No,No,No,Si,1,2,0
18434,Si,Si,No,No,No,Si,1,2,0
18435,Si,Si,No,No,No,Si,1,2,0
18436,Si,Si,No,No,No,Si,1,2,0
18437,Si,Si,No,Si,Si,Si,0,0,5
18438,Si,Si,No,Si,No,Si,2,0,2
18439,Si,Si,No,Si,No,Si,2,0,2
18440,Si,Si,No,Si,Si,Si,0,0,5
18441,Si,Si,No,Si,No,Si,2,0,2
18442,No,Si,No,Si,No,Si,2,1,9
18443,Si,Si,No,No,No,No,1,2,23
18444,Si,Si,Si,No,No,Si,1,2,12
18445,Si,Si,No,Si,No,Si,2,0,2
18446,No,Si,No,No,Si,Si,0,1,13
18447,No,Si,No,No,No,Si,1,1,1
18448,No,Si,No,Si,Si,Si,0,1,3
18449,Si,Si,No,Si,Si,Si,0,0,5
18450,No,Si,No,No,Si,Si,0,1,13
18451,Si,Si,No,No,Si,Si,0,2,4
18452,Si,Si,No,No,Si,Si,0,2,4
18453,Si,Si,No,No,No,Si,1,2,0
18454,No,Si,No,No,No,Si,1,1,1
18455,Si,Si,No,No,No,Si,1,2,0
18456,No,Si,No,No,No,Si,1,1,1
18457,Si,Si,No,No,No,Si,1,2,0
18458,Si,Si,No,No,Si,Si,0,2,4
18459,Si,Si,No,No,No,Si,1,2,0
18460,No,Si,No,No,Si,Si,0,1,13
18461,No,Si,No,No,No,Si,1,1,1
18462,Si,Si,No,No,Si,Si,0,2,4
18463,No,Si,No,No,No,Si,1,1,1
18464,Si,Si,No,Si,No,Si,2,0,2
18465,No,Si,No,No,Si,Si,0,1,13
18466,Si,Si,No,No,Si,Si,0,2,4
18467,No,Si,No,No,No,Si,1,1,1
18468,Si,Si,No,No,Si,Si,0,2,4
18469,No,Si,No,Si,Si,Si,0,1,3
18470,Si,Si,No,No,Si,Si,0,2,4
18471,Si,Si,No,No,Si,Si,0,2,4
18472,Si,Si,No,No,No,Si,1,2,0
18473,No,Si,No,No,No,Si,1,1,1
18474,Si,Si,No,Si,No,Si,2,0,2
18475,Si,Si,No,No,No,Si,1,2,0
18476,Si,Si,No,Si,Si,Si,0,0,5
18477,Si,Si,No,No,Si,Si,0,2,4
18478,No,Si,No,No,Si,Si,0,1,13
18479,No,Si,No,Si,No,Si,2,1,9
18480,Si,Si,No,No,Si,Si,0,2,4
18481,Si,Si,No,No,No,Si,1,2,0
18482,Si,Si,Si,No,No,Si,1,2,12
18483,Si,Si,Si,Si,Si,Si,0,0,7
18484,Si,Si,No,No,Si,Si,0,2,4
18485,Si,No,No,No,No,Si,1,2,6
18486,No,Si,No,No,No,Si,1,1,1
18487,No,Si,No,Si,Si,Si,0,1,3
18488,Si,Si,No,No,No,Si,1,2,0
18489,Si,Si,No,Si,No,Si,2,0,2
18490,No,Si,No,No,No,Si,1,1,1
18491,Si,Si,No,No,No,Si,1,2,0
18492,Si,Si,No,No,No,Si,1,2,0
18493,No,Si,No,Si,Si,Si,0,1,3
18494,No,Si,No,Si,No,Si,2,1,9
18495,Si,Si,No,No,Si,Si,0,2,4
18496,Si,Si,No,Si,Si,Si,0,0,5
18497,Si,Si,No,Si,No,Si,2,0,2
18498,Si,Si,Si,No,No,Si,1,2,12
18499,Si,Si,Si,Si,No,Si,2,0,20
18500,Si,Si,No,Si,Si,Si,0,0,5
18501,No,Si,No,Si,No,Si,2,1,9
18502,No,No,No,Si,No,Si,2,1,49
18503,No,Si,No,Si,No,Si,2,1,9
18504,No,Si,Si,Si,No,Si,2,1,36
18505,Si,Si,No,No,Si,Si,0,2,4
18506,Si,Si,No,No,No,Si,1,2,0
18507,Si,Si,No,Si,No,Si,2,0,2
18508,Si,Si,No,No,Si,Si,0,2,4
18509,Si,Si,No,Si,No,Si,2,0,2
18510,Si,Si,No,Si,No,Si,2,0,2
18511,Si,Si,No,Si,No,Si,2,0,2
18512,Si,Si,No,Si,Si,Si,0,0,5
18513,Si,Si,No,No,Si,Si,0,2,4
18514,Si,Si,No,No,No,Si,1,2,0
18515,Si,Si,Si,No,No,Si,1,2,12
18516,No,Si,No,Si,No,No,2,1,19
18517,No,Si,No,Si,No,No,2,1,19
18518,Si,Si,No,No,Si,Si,0,2,4
18519,Si,Si,No,No,Si,Si,0,2,4
18520,Si,Si,No,No,No,Si,1,2,0
18521,Si,Si,No,No,Si,Si,0,2,4
18522,No,Si,No,No,Si,Si,0,1,13
18523,No,Si,No,Si,Si,Si,0,1,3
18524,Si,Si,No,No,Si,Si,0,2,4
18525,Si,Si,No,No,Si,Si,0,2,4
18526,Si,Si,No,No,Si,Si,0,2,4
18527,Si,Si,No,No,Si,Si,0,2,4
18528,No,No,No,Si,Si,No,0,1,44
18529,No,Si,No,No,Si,No,0,1,24
18530,Si,Si,No,No,Si,Si,0,2,4
18531,Si,Si,No,No,Si,Si,0,2,4
18532,No,Si,No,No,No,Si,1,1,1
18533,No,Si,No,No,Si,Si,0,1,13
18534,Si,Si,No,No,No,Si,1,2,0
18535,Si,Si,No,No,No,Si,1,2,0
18536,Si,Si,No,Si,No,Si,2,0,2
18537,Si,Si,No,No,No,Si,1,2,0
18538,No,Si,No,Si,No,Si,2,1,9
18539,Si,Si,No,Si,Si,Si,0,0,5
18540,No,Si,No,Si,No,Si,2,1,9
18541,No,Si,No,No,Si,Si,0,1,13
18542,No,Si,No,No,Si,Si,0,1,13
18543,No,Si,No,No,Si,Si,0,1,13
18544,No,Si,No,No,Si,Si,0,1,13
18545,No,Si,No,No,Si,Si,0,1,13
18546,Si,Si,No,No,No,No,1,2,23
18547,Si,Si,No,No,Si,Si,0,2,4
18548,No,Si,No,No,Si,Si,0,1,13
18549,Si,Si,No,Si,Si,Si,0,0,5
18550,Si,Si,No,No,Si,Si,0,2,4
18551,Si,Si,No,No,Si,Si,0,2,4
18552,No,Si,No,Si,No,Si,2,1,9
18553,No,Si,No,Si,No,Si,2,1,9
18554,Si,Si,No,Si,No,Si,2,0,2
18555,Si,Si,No,No,No,Si,1,2,0
18556,Si,Si,No,No,Si,Si,0,2,4
18557,Si,Si,No,Si,No,Si,2,0,2
18558,Si,Si,No,No,No,Si,1,2,0
18559,No,Si,No,Si,No,Si,2,1,9
18560,Si,Si,No,No,No,Si,1,2,0
18561,Si,Si,No,Si,No,Si,2,0,2
